Index,Player,Tm,Year,Pos,PTS,FG,3P,2P,FT,TRB,AST,TOV,STL,BLK
14470,Tariq Abdul-Wahad,TOT,2000,SG,697,274,3,271,146,291,98,106,59,28
14471,Tariq Abdul-Wahad,ORL,2000,SG,563,223,2,221,115,239,72,87,53,16
14472,Tariq Abdul-Wahad,DEN,2000,SG,134,51,1,50,31,52,26,19,6,12
14473,Shareef Abdur-Rahim,VAN,2000,SF,1663,594,29,565,446,825,271,249,89,87
14474,Cory Alexander,DEN,2000,PG,82,28,9,19,17,42,58,28,24,2
14475,Ray Allen,MIL,2000,SG,1809,642,172,470,353,359,308,183,110,19
14476,Rafer Alston,MIL,2000,PG,60,27,3,24,3,23,70,29,12,0
14477,John Amaechi,ORL,2000,C,836,306,1,305,223,266,95,139,35,37
14478,Derek Anderson,LAC,2000,SG,1080,377,55,322,271,258,220,167,90,11
14479,Kenny Anderson,BOS,2000,PG,1149,434,85,349,196,225,420,130,139,8
14480,Nick Anderson,SAC,2000,SG,781,306,132,174,37,339,123,95,94,16
14481,Shandon Anderson,HOU,2000,SF,1009,368,79,289,194,384,239,194,96,32
14482,Chris Anstey,CHI,2000,C,439,161,1,160,116,280,65,80,29,25
14483,Greg Anthony,POR,2000,PG,514,169,88,81,88,133,208,85,59,9
14484,B.J. Armstrong,CHI,2000,PG,201,83,13,70,22,47,78,40,7,1
14485,Darrell Armstrong,ORL,2000,PG,1330,484,137,347,225,270,501,248,169,9
14486,Chucky Atkins,ORL,2000,PG,782,314,57,257,97,126,306,142,52,3
14487,Stacey Augmon,POR,2000,SG,203,83,0,83,37,116,53,38,27,11
14488,Isaac Austin,WAS,2000,C,397,151,1,150,94,282,74,107,17,38
14489,Anthony Avent,LAC,2000,PF,81,29,0,29,23,74,11,24,16,15
14490,William Avery,MIN,2000,PG,154,56,18,38,24,40,88,42,14,2
14491,Toby Bailey,PHO,2000,SG,163,58,2,56,45,72,30,24,13,4
14492,Vin Baker,SEA,2000,C,1311,514,2,512,281,605,148,213,47,66
14493,Charles Barkley*,HOU,2000,PF,289,106,6,100,71,209,63,44,14,4
14494,Dana Barros,BOS,2000,PG,517,196,59,137,66,99,133,66,31,4
14495,Brent Barry,SEA,2000,SG,945,327,164,163,127,372,291,142,103,31
14496,Drew Barry,TOT,2000,PG,41,15,7,8,4,12,33,13,2,0
