,TEAM,SEASON,W,L,PTS,FGM,3PM,FTM,REB,AST,TOV,STL,BLK,BLKA,PF,PFD
0,Atlanta Hawks,2018-19,29,53,113.3,41.4,13,17.6,46.1,25.8,17,8.2,5.1,5.5,23.6,22.2
1,Boston Celtics,2018-19,49,33,112.4,42.1,12.6,15.6,44.5,26.3,12.8,8.6,5.3,3.9,20.4,19.5
2,Brooklyn Nets,2018-19,42,40,112.2,40.3,12.8,19,46.6,23.8,15.1,6.6,4.1,5.3,21.5,22
3,Charlotte Hornets,2018-19,39,43,110.7,40.2,11.9,18.4,43.8,23.2,12.2,7.2,4.9,6,18.9,20.6
4,Chicago Bulls,2018-19,22,60,104.9,39.8,9.1,16.2,42.9,21.9,14.1,7.4,4.3,5.8,20.3,18.7
5,Cleveland Cavaliers,2018-19,19,63,104.5,38.9,10.3,16.4,42.7,20.7,13.5,6.5,2.4,5.6,20,19.4
6,Dallas Mavericks,2018-19,33,49,108.9,38.8,12.5,18.8,45.3,23.4,14.2,6.5,4.3,4.5,20.1,23.2
7,Denver Nuggets,2018-19,54,28,110.7,41.9,11,15.8,46.4,27.4,13.4,7.7,4.4,5,20,20.4
8,Detroit Pistons,2018-19,41,41,107,38.8,12.1,17.3,45,22.5,13.8,6.9,4,5.1,22.1,21.3
9,Golden State Warriors,2018-19,57,25,117.7,44,13.3,16.3,46.2,29.4,14.3,7.6,6.4,3.6,21.4,19.5
10,Houston Rockets,2018-19,53,29,113.9,39.2,16.1,19.3,42.1,21.2,13.3,8.5,4.9,4.5,22,20
11,Indiana Pacers,2018-19,48,34,108,41.3,9.5,15.8,43,26,13.7,8.7,4.9,5.2,19.4,20
12,LA Clippers,2018-19,48,34,115.1,41.3,10,22.6,45.5,24,14.5,6.8,4.7,6.1,23.3,24
13,Los Angeles Lakers,2018-19,37,45,111.8,42.6,10.3,16.3,46.6,25.6,15.7,7.5,5.4,5.1,20.7,20.8
14,Memphis Grizzlies,2018-19,33,49,103.5,38,9.9,17.7,41.8,23.9,14,8.3,5.5,4.9,22,21.4
15,Miami Heat,2018-19,39,43,105.7,39.6,11.3,15.1,46.3,24.3,14.7,7.6,5.5,4.7,20.9,20.1
16,Milwaukee Bucks,2018-19,60,22,118.1,43.4,13.5,17.9,49.7,26,13.9,7.5,5.9,4.8,19.6,20.2
17,Minnesota Timberwolves,2018-19,36,46,112.5,41.6,10.1,19.1,44.8,24.6,13.1,8.3,5,5.5,20.3,21.9
18,New Orleans Pelicans,2018-19,33,49,115.4,43.7,10.3,17.8,47.3,27,14.8,7.4,5.4,5.4,21.1,21
19,New York Knicks,2018-19,17,65,104.6,38.2,10,18.1,44.7,20.1,14,6.8,5.1,5.6,20.9,20.8
20,Oklahoma City Thunder,2018-19,49,33,114.5,42.6,11.4,17.8,48.1,23.4,14,9.3,5.2,5.1,22.4,22.5
21,Orlando Magic,2018-19,42,40,107.3,40.4,11.4,15,45.4,25.5,13.2,6.6,5.4,4.4,18.6,18.7
22,Philadelphia 76ers,2018-19,51,31,115.2,41.5,10.8,21.2,47.8,26.9,14.9,7.4,5.3,4.1,21.3,22.1
23,Phoenix Suns,2018-19,19,63,107.5,40.1,9.6,17.6,40.4,23.9,15.6,9,5.1,5,23.6,20.7
24,Portland Trail Blazers,2018-19,53,29,114.7,42.3,11,19,48,23,13.8,6.7,5,5.1,20.4,20.7
25,Sacramento Kings,2018-19,39,43,114.2,43.2,11.3,16.5,45.4,25.4,13.4,8.3,4.4,5.1,21.4,21.4
26,San Antonio Spurs,2018-19,48,34,111.7,42.3,9.9,17.2,44.7,24.5,12.1,6.1,4.7,4,18.1,19.6
27,Toronto Raptors,2018-19,58,24,114.4,42.2,12.4,17.7,45.2,25.4,14,8.3,5.3,4.5,21,20.5
28,Utah Jazz,2018-19,50,32,111.7,40.4,12.1,18.8,46.4,26,15.1,8.1,5.9,4.6,21.1,22.4
29,Washington Wizards,2018-19,32,50,114,42.1,11.3,18.4,42.4,26.3,14.1,8.3,4.6,4.6,20.7,21.2
30,Atlanta Hawks,2017-18,24,58,103.4,38.2,11.2,15.8,41.9,23.7,15.5,7.8,4.2,5.5,19.6,20.3
31,Boston Celtics,2017-18,55,27,104,38.3,11.5,16,44.5,22.5,14,7.4,4.5,4.4,19.7,19.2
32,Brooklyn Nets,2017-18,28,54,106.6,38.2,12.7,17.4,44.4,23.7,15.2,6.2,4.8,5.5,20.6,19.7
33,Charlotte Hornets,2017-18,36,46,108.2,39,10,20.2,45.5,21.6,12.7,6.8,4.5,4.9,17.2,22.4
34,Chicago Bulls,2017-18,27,55,102.9,38.7,11,14.6,44.7,23.5,14,7.6,3.5,5.2,19.2,17.4
35,Cleveland Cavaliers,2017-18,50,32,110.9,40.4,12,18.1,42.1,23.4,13.7,7.1,3.8,4.1,18.6,20.7
36,Dallas Mavericks,2017-18,24,58,102.3,38.1,11.8,14.2,41.3,22.7,12.3,7,3.8,4.5,19.2,19.6
37,Denver Nuggets,2017-18,46,36,110,40.7,11.5,17.1,44.5,25.1,15,7.6,4.9,4.8,18.7,20.7
38,Detroit Pistons,2017-18,39,43,103.8,39.1,10.8,14.7,43.7,22.8,13.4,7.7,3.9,4.9,18.4,18.4
39,Golden State Warriors,2017-18,58,24,113.5,42.8,11.3,16.6,43.5,29.3,15.4,8,7.5,3.7,19.6,18.5
40,Houston Rockets,2017-18,65,17,112.4,38.7,15.3,19.6,43.5,21.5,13.8,8.5,4.8,4.4,19.5,20.4
41,Indiana Pacers,2017-18,48,34,105.6,40.8,9,14.9,42.3,22.2,13.3,8.8,4.1,5.2,18.8,18.5
42,LA Clippers,2017-18,42,40,109,40.3,9.5,19,43.9,22.3,14.7,7.7,4.5,5.6,20,22
43,Los Angeles Lakers,2017-18,35,47,108.1,40.7,10,16.6,46.4,23.8,15.8,7.7,4.7,5.5,21.2,20.5
44,Memphis Grizzlies,2017-18,22,60,99.3,36.7,9.2,16.6,40.5,21.5,15,7.5,4.8,5.1,23.2,20.4
45,Miami Heat,2017-18,44,38,103.4,38.8,11,14.7,43.5,22.7,14.4,7.6,5.3,4.6,20.1,19.4
46,Milwaukee Bucks,2017-18,44,38,106.5,39.7,8.8,18.3,39.8,23.2,13.8,8.8,5.4,4.5,21.4,19.9
47,Minnesota Timberwolves,2017-18,47,35,109.5,41,8,19.4,42,22.7,12.5,8.4,4.2,4.7,18.2,20.9
48,New Orleans Pelicans,2017-18,48,34,111.7,42.7,10.2,16.1,44.3,26.8,14.9,8,5.9,4.2,19.1,20.4
49,New York Knicks,2017-18,29,53,104.5,40.7,8.2,14.9,44,23.3,14.7,6.7,5.1,4.7,20.5,18.4
50,Oklahoma City Thunder,2017-18,48,34,107.9,39.9,10.7,17.3,45.1,21.3,14,9.1,5,4.6,20.2,21.3
